KEGG,Human Metabolome Database,InChIKey,Score
"C00333","No result","AEMOLEFTQBMNLQ-YMDCURPLSA-N","1"
"C02024","No result","AEMOLEFTQBMNLQ-VANFPWTGSA-N","1"
"C06472","No result","AEMOLEFTQBMNLQ-HNFCZKTMSA-N","1"
"C06477","No result","AEMOLEFTQBMNLQ-GPGIQTIDSA-N","1"
"C00257","HMDB0000625","RGHNJXZEOKUKBD-SQOUGZDYSA-N","1"
"C03752","No result","UFYKDFXCZBTLOO-TXICZTDVSA-N","1"
"C06473","No result","VBUYCZFBVCCYFD-JJYYJPOSSA-N","1"
"C01187","No result","KYQCXUMVJGMDNG-SHUUEZRQSA-N","1"
"C00116","HMDB0000131","PEDCQBHIVMGVHV-UHFFFAOYSA-N","1"
"C00379","No result","HEBKCHPVOIAQTA-SCDXWVJYSA-N","1"
"C00794","HMDB0000247","FBPFZTCFMRRESA-JGWLITMVSA-N","1"
"C00392","HMDB0000765","FBPFZTCFMRRESA-KVTDHHQDSA-N","1"
"C00137","HMDB0000211","CDAISMWEOUEBRE-GPIVLXJGSA-N","1"
"C00089","HMDB0000258
HMDB0125600","CZMRCDWAGMRECN-UGDNZRGBSA-N","1"
"C00243","No result","GUBGYTABKSRVRQ-QKKXKWKRSA-N","1"
"C00208","No result","GUBGYTABKSRVRQ-PICCSMPSSA-N","1"
"C01083","HMDB0000975
HMDB0029880","HDTRYLNUVZCQOY-LIZSDCNHSA-N","1"
"C00185","No result","GUBGYTABKSRVRQ-CUHNMECISA-N","1"
"C19632","HMDB0011742","PZDOWFGHCNHPQD-OQPGPFOOSA-N","1"
"C01518","No result","QIGJYVCQYDKYDW-NSYYTRPSSA-N","1"
"C00252","HMDB0002923","DLRVVLDZNNYCBX-RTPHMHGBSA-N","1"
"C08250","No result","HIWPGCMGAMJNRG-BTLHAWITSA-N","1"
"C02048","No result","QIGJYVCQYDKYDW-LCOYTZNXSA-N","1"
"C08240","No result","DLRVVLDZNNYCBX-LIZSDCNHSA-N","1"
"C19636","HMDB0011740","RULSWEULPANCDV-PIXUTMIVSA-N","1"
"C19633","No result","PFCRQPBOOFTZGQ-RGXJTGTOSA-N","1"
"C01742","No result","PVXPPJIGRGXGCY-TZLCEDOOSA-N","1"
"C19635","No result","XAVVYCXXDSHXNS-ULUQPUQLSA-N","1"
"C01728","No result","DLRVVLDZNNYCBX-ONPLHCRPSA-N","1"
"C05402","HMDB0000048","DLRVVLDZNNYCBX-ABXHMFFYSA-N","1"
"C06372","No result","HMQPEDMEOBLSQB-RPHKZZMBSA-N","1"
"C19634","No result","RJPPRBMGVWEZRR-IYDDCBTQSA-N","1"
"C08247","No result","OVVGHDNPYGTYIT-BNXXONSGSA-N","1"
"C01625","No result","QYNRIDLOTGRNML-ULAALWPKSA-N","1"
"C01630","No result","LGQKSQQRKHFMLI-WSNPFVOISA-N","1"
"C06371","HMDB0006566","AXQLFFDZXPOFPO-FSGZUBPKSA-N","1"
"G10481","No result","","0"
"G10495","No result","","0"
"G04981","No result","","0"
"G10483","No result","","0"
"G10536","No result","","0"
"G11610","No result","","0"
"G11603","No result","","0"
"G10591","No result","","0"
"G11598","No result","","0"
"G11599","No result","","0"
"G11622","No result","","0"
"G11623","No result","","0"
"G11619","No result","","0"
"G11624","No result","","0"
"G11334","No result","","0"
"G10505","No result","","0"
"G10593","No result","","0"
"C00147","HMDB0000034","GFFGJBXGBJISGV-UHFFFAOYSA-N","1"
"C00242","HMDB0000132","UYTPUPDQBNUYGX-UHFFFAOYSA-N","1"
"C00106","HMDB0000300","ISAKRJDGNUQOIC-UHFFFAOYSA-N","1"
"C00178","HMDB0000262","RWQNBRDOKXIBIV-UHFFFAOYSA-N","1"
"C00380","HMDB0000630","OPTASPLRGRRNAP-UHFFFAOYSA-N","1"
"C00212","HMDB0000050","OIRDTQYFTABQOQ-KQYNXXCUSA-N","1"
"C00387","HMDB0000133","NYHBQMYGNKIUIF-UUOKFMHZSA-N","1"
"C00299","HMDB0000296","DRTQHJPVMGBUCF-XVFCMESISA-N","1"
"C00475","HMDB0000089","UHDGCWIWMRVCDJ-XVFCMESISA-N","1"
"C00559","HMDB0000101","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","1"
"C00330","HMDB0000085","YKBGVTZYEHREMT-KVQBGUIXSA-N","1"
"C00526","HMDB0000012","MXHRCPNRJAMMIM-SHYZEUOFSA-N","1"
"C00214","HMDB0000273","IQFYYKKMVGJFEH-XLPZGREQSA-N","1"
"C00881","HMDB0000014","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","1"
"C00020","HMDB0000045","UDMBCSSLTHHNCD-KQYNXXCUSA-N","1"
"C00008","HMDB0001341","XTWYTFMLZFPYCI-KQYNXXCUSA-N","1"
"C00002","HMDB0000538","ZKHQWZAMYRWXGA-KQYNXXCUSA-N","1"
"C00144","HMDB0001397","RQFCJASXJCIDSX-UUOKFMHZSA-N","1"
"C00035","HMDB0001201","QGWNDRXFNXRZMB-UUOKFMHZSA-N","1"
"C00044","HMDB0001273","XKMLYUALXHKNFT-UUOKFMHZSA-N","1"
"C00105","HMDB0000288","DJJCXFVJDGTHFX-XVFCMESISA-N","1"
"C00015","HMDB0000295","XCCTYIAWTASOJW-XVFCMESISA-N","1"
"C00075","HMDB0000285","PGAVKCOVUIYSFO-XVFCMESISA-N","1"
"C00055","HMDB0000095","IERHLVCPSMICTF-XVFCMESISA-N","1"
"C00112","HMDB0001546","ZWIADYZPOWUWEW-XVFCMESISA-N","1"
"C00063","HMDB0000082","PCDQPRRSZKQHHS-XVFCMESISA-N","1"
"C00360","HMDB0000905","KHWCHTKSEGGWEX-RRKCRQDMSA-N","1"
"C00206","No result","DAEAPNUQQAICNR-RRKCRQDMSA-N","1"
"C00131","HMDB0001532","SUYVUBYJARFZHO-RRKCRQDMSA-N","1"
"C00362","HMDB0001044","LTFMZDNNPPEQNG-KVQBGUIXSA-N","1"
"C00361","HMDB0000960","CIKGWCTVFSRMJU-KVQBGUIXSA-N","1"
"C00286","HMDB0001440","HAAZLUGHYHWQIW-KVQBGUIXSA-N","1"
"C00365","HMDB0001409","JSRLJPSBLDHEIO-SHYZEUOFSA-N","1"
