PLATE,NROW,NCOL,CNAME,SMILES,FORMULA,MW (as put into the well),Formula (as seen in MS),Neutral mass,M+H,M-H,CHARGE,PARENT_CID(KEGG),CAS,CHEBI,HMDB,PC_CID,PC_SID,METLIN_ID
5,F,12,INDOLE-3-ACETAMIDE,O=C(Cc1c[nH]c2c1cccc2)N,C10H10N2O,174.07931,C10H10N2O,174.07931,175.08711,173.07151,,C02693,879-37-8,16031,,397,5661,3302
5,G,1,HIPPURATE,C1=CC=C(C=C1)C(=O)NCC(=O)O,C9H9NO3,179.05824,C9H9NO3,179.05824,180.06604,178.05044,,C01586,495-69-2,18089,HMDB00714,464,4741,1301
5,G,2,ETHYLMALONIC ACID,O=C(O)C(C(=O)O)CC,C5H8O4,132.04226,C5H8O4,132.04226,133.05006,131.03446,,CA1366,601-75-2,741548,HMDB00622,11756,,4180
5,G,3,"3,5-DIIODO-L-THYRONINE",[NH3+][C@H](Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C([O-])=O,C15H13I2NO4,524.89341,C15H13I2NO4,524.89341,525.90121,523.88561,,CE6369,1041-01-6,,,92859,,
5,G,4,FUMARATE,C(=CC(=O)O)C(=O)O,C4H4O4,116.01096,C4H4O4,116.01096,117.01876,115.00316,,C00122,110-17-8,18012,HMDB00134,444972,3422,3242
5,G,5,BENZALDEHYDE,O=Cc1ccccc1 ,C7H6O,106.04187,C7H6O,106.04187,107.04967,105.03407,,C00261,100-52-7,17169,HMDB06115,240,3559,58358
5,G,6,4-HYDROXYBENZALDEHYDE,O=Cc1ccc(O)cc1,C7H6O2,122.03678,C7H6O2,122.03678,123.04458,121.02898,,C00633,123-08-0,17597,HMDB11718,126,3906,62451
5,G,7,3-(2-HYDROXYPHENYL)PROPANOATE,O=C(O)CCc1ccccc1O,C9H10O3,166.063,C9H10O3,166.06300,167.07080,165.05520,,C01198,495-78-3,16104,,873,4423,63105
5,G,8,3-METHOXYTYRAMINE,COC1=C(C=CC(=C1)CCN)O,C9H13NO2,203.07131,C9H13NO2,167.09464,168.10244,166.08684,,C05587,1477-68-5,,,1669,7912,
5,G,9,BENZYLAMINE,NCc1ccccc1,C7H9N,107.0735,C7H9N,107.07350,108.08130,106.06570,,C15562,100-46-9,40538,,7504,17396554,24056
5,G,10,2-QUINOLINECARBOXYLIC ACID,C1=CC=C2C(=C1)C=CC(=N2)C(=O)O,C10H7NO2,173.04768,C10H7NO2,173.04768,174.05548,172.03988,,C06325,93-10-7,18386,HMDB00842,7124,8561,5805
5,G,11,SEROTONIN,C1=CC2=C(C=C1O)C(=CN2)CCN,C10H12N2O,211.06382,C10H12N2O,176.09496,177.10276,175.08716,,C00780,153-98-0,28790,,5202,4041,
5,G,12,PTERIN,O=C2\N=C(/Nc1nccnc12)N,C6H5N5O,163.04941,C6H5N5O,163.04941,164.05721,162.04161,,CA1303,2236-60-4,18265,HMDB00802,7300,,5766
5,H,1,4-AMINOBENZOATE,C1=CC(=CC=C1C(=O)O)N,C7H7NO2,137.04768,C7H7NO2,137.04768,138.05548,136.03988,,C00568,150-13-0,30753,HMDB01392,978,3847,3261
5,H,2,2-AMINOPHENOL,Oc1ccccc1N,C6H7NO,109.05276,C6H7NO,109.05276,110.06056,108.04496,,C01987,95-55-6,18112,,491,5084,5805
5,H,3,ACETOIN,CC(C(=O)C)O,C4H8O2,88.05243,C4H8O2,88.05243,89.06023,87.04463,,C00466,513-86-0,15688,HMDB03243,179,3750,103
5,H,4,INDOLE-3-PYRUVIC ACID,O=C(C(O)=O)CC1=CNC2=CC=CC=C21,C11H9NO3,203.05824,C11H9NO3,203.05824,204.06604,202.05044,,CA1282,392-12-1,,,803,,43383
5,H,5,DEHYDRO-L-(+)-ASCORBIC ACID DIMER,C(C(C1C(=O)C(=O)C(=O)O1)O)O,C6H6O6,348.03288,C12H12O12,348.03288,349.04068,347.02508,,C00425,72691-25-9,17242,,440667,,45119
5,H,6,3-AMINO-4-HYDROXYBENZOIC ACID,Oc1c(N)cc(C(=O)O)cc1,C7H7NO3,153.04259,C7H7NO3,153.04259,154.05039,152.03479,,C12115,1571-72-8,,,65083,14262,69314
5,H,7,DIHYDROXYMANDELIC ACID,O=C(O)C(O)c1cc(O)c(O)cc1,C8H8O5,184.03718,C8H8O5,184.03718,185.04498,183.02938,,C07470,775-01-9,27637,HMDB01866,85782,7906,696
5,H,8,ANTHRANILATE,C1=CC=C(C(=C1)C(=O)O)N,C7H7NO2,137.04768,C7H7NO2,137.04768,138.05548,136.03988,,C00108,118-92-3,30754,HMDB01123,227,3408,6018
5,H,9,THIOACETATE,O=C(S)C,C2H4OS,75.99829,C2H4OS,75.99829,77.00609,74.99049,,C01857,507-09-5,16555,,10484,4974,65663
5,H,10,BUTANOATE,CCCC(=O)O,C4H8O2,88.05243,C4H8O2,88.05243,89.06023,87.04463,,C00246,107-92-6,30772,HMDB00039,264,3545,107
5,H,11,INDOLE-3-ACETIC ACID,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,C10H9NO2,196.03745,C10H9NO2,175.06333,176.07113,174.05553,,C00954,6505-45-9,16411,,802,4205,696
5,H,12,5-VALEROLACTONE,O=C1OCCCC1,C5H8O2,100.05243,C5H8O2,100.05243,101.06023,99.04463,,C02240,542-28-9,16545,,10953,5303,65736
6,A,1,"2,5-DIHYDROXYBENZOATE",C1=CC(=C(C=C1O)C(=O)O)O,C7H6O4,154.02661,C7H6O4,154.02661,155.03441,153.01881,,C00628,490-79-9,17189,HMDB00152,3469,3901,618
6,A,2,2-METHYLMALEATE,CC(=CC(=O)O)C(=O)O,C5H6O4,130.02661,C5H6O4,130.02661,131.03441,129.01881,,C02226,498-23-7,17626,HMDB00634,643798,5291,5607
6,A,3,HYDROQUINONE,C1=CC(=CC=C1O)O,C6H6O2,110.03678,C6H6O2,110.03678,111.04458,109.02898,,C00530,123-31-9,17594,HMDB02434,785,3812,6681
6,A,4,DETHIOBIOTIN,CC1C(NC(=O)N1)CCCCCC(=O)O,C10H18N2O3,214.13174,C10H18N2O3,214.13174,215.13954,213.12394,,C01909,533-48-2,16691,HMDB03581,445027,5017,3351
6,A,5,3-METHYL-2-OXOVALERIC ACID,C[C@H](C(C(=O)O)=O)CC,C6H10O3,130.063,C6H10O3,130.06300,131.07080,129.05520,,C00671,1460-34-0,28654,HMDB00491,47,6284,5478
6,A,6,ALPHA-KETOGLUTARIC ACID,C(CC(=O)O)C(=O)C(=O)O,C5H6O5,166.99565,C5H6O5,146.02153,147.02933,145.01373,,C00026,22202-68-2,30915,,51,3328,
6,A,7,N-ACETYLSEROTONIN,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,C12H14N2O2,218.10553,C12H14N2O2,218.10553,219.11333,217.09773,,C00978,1210-83-9,17697,HMDB01238,903,4227,366
6,A,8,3-METHYLBUTANAL,O=CCC(C)C,C5H10O,86.07317,C5H10O,86.07317,87.08097,85.06537,,C07329,590-86-3,16638,HMDB06478,11552,9537,58421
6,A,9,ITACONATE,C=C(CC(=O)O)C(=O)O,C5H6O4,130.02661,C5H6O4,130.02661,131.03441,129.01881,,C00490,97-65-4,30838,HMDB02092,811,3773,6483
6,A,10,AZELAIC ACID,C(CCCC(=O)O)CCCC(=O)O,C9H16O4,188.10486,C9H16O4,188.10486,189.11266,187.09706,,C08261,123-99-9,48131,HMDB00784,2266,10460,5750
6,A,11,MONO-METHYL GLUTARATE,O=C(O)CCCC(=O)OC,C6H10O4,146.05791,C6H10O4,146.05791,147.06571,145.05011,,CA1015,1501-27-5,1007322,HMDB00858,73917,,5821
6,A,12,2-METHYLGLUTARIC ACID,O=C(O)CCC(C(=O)O)C,C6H10O4,146.05791,C6H10O4,146.05791,147.06571,145.05011,,CA1107,18069-17-5,,,12046,,
6,B,1,PHENYLACETALDEHYDE,O=CCc1ccccc1,C8H8O,120.05752,C8H8O,120.05752,121.06532,119.04972,,C00601,122-78-1,16424,HMDB06236,998,3876,58372
6,B,2,2-METHYLBUTANAL,O=CC(C)CC,C5H10O,86.07317,C5H10O,86.07317,87.08097,85.06537,,C02223,96-17-3,16182,,7284,5288,65731
6,B,3,PHENYL ACETATE,CC(=O)OC1=CC=CC=C1,C8H8O2,136.05243,C8H8O2,136.05243,137.06023,135.04463,,C00548,122-79-2,8082,,31229,3829,65519
6,B,4,DIACETYL,CC(=O)C(=O)C,C4H6O2,86.03678,C4H6O2,86.03678,87.04458,85.02898,,C00741,431-03-8,16583,HMDB03407,650,4004,6921
6,B,5,PYRUVATE,CC(=O)C(=O)O,C3H4O3,88.01605,C3H4O3,88.01605,89.02385,87.00825,,C00022,127-17-3,32816,HMDB00243,1060,3324,117
6,B,6,TRANS-CINNAMALDEHYDE,C1=CC=C(C=C1)C=CC=O,C9H8O,132.05752,C9H8O,132.05752,133.06532,131.04972,,C00903,14371-10-9,16731,,637511,4158,6931
6,B,7,"2,6-DIHYDROXYPYRIDINE",c1([nH]c(=O)ccc1)O,C5H5NO2,147.00871,C5H5NO2,111.03202,112.03982,110.02422,,C03056,10357-84-3,17681,,69371,5956,
6,B,8,PHENETHYLAMINE,NCCc1ccccc1,C8H11N,121.08915,C8H11N,121.08915,122.09695,120.08135,,C05332,64-04-0,18397,HMDB12275,1001,7711,
6,B,9,METHYL ACETOACETATE,CC(=O)CC(=O)OC,C5H8O3,116.04735,C5H8O3,116.04735,117.05515,115.03955,,CA1265,105-45-3,,HMDB00310,7757,,5299
6,B,10,SUBERIC ACID,C(CCCC(=O)O)CCC(=O)O,C8H14O4,174.08921,C8H14O4,174.08921,175.09701,173.08141,,C08278,505-48-6,9300,HMDB00893,10457,10476,4243
6,B,11,ADIPIC ACID,O=C(O)CCCCC(=O)O,C6H10O4,146.05791,C6H10O4,146.05791,147.06571,145.05011,,CA1042,124-04-9 ,,,196,,115
6,B,12,GERANYL PYROPHOSPHATE,CC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)\C)C,C10H20O7P2,368.17155,C10H32N3O7P2,368.17155,369.17935,367.16375,,C00341,763-10-0,17211,HMDB01285,445995,3634,6134
